_id,Date,UK/Royaume-Uni,Germany/Allemagne,France,Japan/Japon,Canada,USA/États-Unis d'Amérique,Tax Status,Situation fiscale
58,2013-08-01T00:00:00,90.7,98.2,94,102.9,91.7,86.7,Base,Base
59,2013-08-01T00:00:00,130.4,126.6,120,67.4,40,11.5,Tax,Taxe
60,2013-08-01T00:00:00,221.1,224.8,214,170.3,131.7,98.2,Total,Totale
61,2013-09-01T00:00:00,91.3,96.6,92.5,101.6,89.6,85.6,Base,Base
62,2013-09-01T00:00:00,132.1,125.8,119.2,66.3,39.9,11.5,Tax,Taxe
63,2013-09-01T00:00:00,223.4,222.4,211.7,167.9,129.5,97.1,Total,Totale
64,2013-10-01T00:00:00,86.2,93.2,89,102,85,80,Base,Base
65,2013-10-01T00:00:00,133.4,128,121.3,67.3,39.6,11.5,Tax,Taxe
66,2013-10-01T00:00:00,219.6,221.2,210.3,169.3,124.6,91.5,Total,Totale
67,2013-11-01T00:00:00,85,92.8,87.9,99.4,84.7,78.3,Base,Base
68,2013-11-01T00:00:00,134.5,127.9,120.9,66.4,39.6,11.6,Tax,Taxe
69,2013-11-01T00:00:00,219.5,220.7,208.8,165.8,124.3,89.9,Total,Totale
70,2013-12-01T00:00:00,88.8,95.2,93.3,96.9,86.1,80.3,Base,Base
71,2013-12-01T00:00:00,139.1,131.7,125.1,64.9,39.7,11.8,Tax,Taxe
72,2013-12-01T00:00:00,227.9,226.9,218.4,161.8,125.8,92.1,Total,Totale
73,2014-01-01T00:00:00,90.4,94,94.9,99.9,86,83.5,Base,Base
74,2014-01-01T00:00:00,143.3,133.8,128.4,66.6,39.7,12.1,Tax,Taxe
75,2014-01-01T00:00:00,233.7,227.8,223.3,166.5,125.7,95.6,Total,Totale
76,2014-02-01T00:00:00,90.9,96.5,96.9,102.9,88.6,85.8,Base,Base
77,2014-02-01T00:00:00,145.6,136.3,130.6,68.6,39.8,12.3,Tax,Taxe
78,2014-02-01T00:00:00,236.5,232.8,227.5,171.5,128.4,98.1,Total,Totale
79,2014-03-01T00:00:00,91.6,97.2,98.7,104.5,92.4,91.2,Base,Base
80,2014-03-01T00:00:00,146.7,138.3,132.8,68.8,40,12.4,Tax,Taxe
81,2014-03-01T00:00:00,238.3,235.5,231.5,173.3,132.4,103.6,Total,Totale
82,2014-04-01T00:00:00,91.1,101.8,98.4,107.8,96.8,93.9,Base,Base
83,2014-04-01T00:00:00,146.2,137.6,131.3,68.2,40.2,12.3,Tax,Taxe
84,2014-04-01T00:00:00,237.3,239.4,229.7,176,137,106.2,Total,Totale
85,2014-05-01T00:00:00,91.6,98.6,97.6,108.9,96.2,93.4,Base,Base
86,2014-05-01T00:00:00,145.9,135.3,129.5,68.1,40.2,12.2,Tax,Taxe
87,2014-05-01T00:00:00,237.5,233.9,227.1,177,136.4,105.6,Total,Totale
